region	age	gender	income
AA	28	F	6621
AA	41	F	6030
AA	55	N	7178
AA	56	F	5152
AA	57	N	4859
AA	56	M	7720
AA	56	N	8147
AA	35	F	5651
AA	53	M	6826
AA	50	F	8404
AA	49	N	6274
AA	47	N	4293
AA	53	M	6491
AA	49	M	5914
AA	55	N	5304
AA	59	N	7903
AA	45	N	4091
AA	47	F	5310
AA	47	F	6167
AA	49	F	8683
AA	40	N	4847
AA	55	M	6807
AA	53	N	6892
AA	57	F	4145
AA	39	F	4902
AA	45	F	8403
AA	56	F	7843
AA	42	F	5371
AA	52	M	9028
AA	20	N	6346
AA	47	M	4953
AA	59	F	7302
AA	45	N	7595
AA	52	M	6186
AA	45	M	7577
AA	43	F	6847
AA	51	F	8204
AA	55	N	7971
AA	36	F	9206
AA	36	F	5352
AA	45	M	7506
AA	27	N	4301
AA	57	M	6457
AA	29	F	7194
AA	45	M	5316
AA	55	N	7331
AA	52	M	8734
AA	29	F	5319
AA	39	F	9238
AA	49	F	6578
AA	59	F	6908
AA	59	F	7856
AA	55	M	8298
AA	43	F	9252
AA	32	M	5693
AA	45	M	5848
AA	31	N	4869
AA	32	F	6871
AA	55	M	4116
AA	59	F	7544
AA	47	F	8190
AA	40	N	6503
AA	26	N	7510
AA	29	N	3969
AA	35	M	4143
AA	55	N	4348
AA	45	N	9636
AA	32	F	5356
AA	39	M	6141
AA	58	M	7629
AA	48	M	4930
AA	41	F	5703
AA	47	M	6531
AA	45	N	7614
AA	44	M	5594
AA	51	M	6246
AA	30	N	6784
AA	53	M	4962
AA	60	N	8641
AA	29	M	5588
AA	36	M	5006
AA	40	F	7311
AA	35	N	5722
AA	49	M	6911
AA	57	F	7372
AA	42	F	9462
AA	41	N	7385
AA	32	N	6389
AA	39	M	4186
AA	37	N	6572
AA	52	F	7177
AA	28	F	7043
AA	49	N	6093
AA	49	F	6517
AA	42	M	5498
AA	60	N	7190
AA	50	M	5696
AA	35	M	6658
AA	57	M	7087
AA	44	N	4293
BB	26	N	6102
BB	35	M	7832
BB	23	N	8073
BB	42	N	8667
BB	26	F	7370
BB	27	N	6391
BB	34	N	9493
BB	41	M	8311
BB	22	M	5278
BB	21	M	9922
BB	23	N	9682
BB	25	M	5131
BB	52	N	6080
BB	30	F	9723
BB	28	M	3937
BB	55	N	9907
BB	32	N	7256
BB	53	F	11493
BB	25	N	7523
BB	41	F	7589
BB	22	F	9654
BB	46	M	10412
BB	51	M	7093
BB	29	F	7498
BB	33	N	6231
BB	22	N	10323
BB	43	N	9167
BB	31	M	6574
BB	31	M	8619
BB	23	F	7033
BB	26	N	5749
BB	57	F	10626
BB	37	N	6238
BB	44	N	8111
BB	25	N	8141
BB	23	N	10501
BB	51	F	9066
BB	31	N	5509
BB	36	N	7092
BB	42	F	6593
BB	45	F	6170
BB	49	M	8980
BB	32	M	6391
BB	33	N	8806
BB	39	N	7186
BB	40	F	8481
BB	46	N	8956
BB	23	N	8199
BB	31	N	6610
